,Name der Klinik,Ort,Straße und Hausnummer,PLZ,Geburten gesamt 2022,Anzahl Kaiserschnitte 2022,Kaiserschnitt % 2022,IK,Standortnummer,Latitude,Longitude
192,St. Franziskus-Hospital GmbH Münster,Münster,Hohenzollernring 70,48145,2375,721,30,260551416,772191000,51.9609413,7.649296
193,Marienhospital Bottrop gGmbH,Bottrop,Josef-Albers-Str. 70,46236,1182,380,32,260551757,771988000,51.5344955,6.9180811
194,St. Elisabeth-Krankenhaus Dorsten,Dorsten,Pfarrer-Wilhelm-Schmitz-Straße 1,46282,623,242,39,260551837,772049000,51.6566941,6.9563896
195,"Klinikum Bielefeld gem. GmbH, Standort Halle/Westfalen",Halle,Winnebrockstr. 1,33790,442,170,38,260570022,772829000,52.0546825,8.3547493
196,Klinikum Bielefeld gem. GmbH,Bielefeld,Teutoburger Str. 50,33604,956,319,33,260570022,772831000,52.0147557,8.5431079
197,Evangelisches Klinikum Bethel gGmbH Standort Bethel,Bielefeld,Kantensiek 11,33617,1898,718,38,260570044,773641000,52.0128958,8.5261322
198,Klinik Dr. Hartog,Bielefeld,Kiskerstr. 15,33615,387,213,55,260570088,772065000,52.0231045,8.5213338
199,Klinikum Gütersloh,Gütersloh,Reckenberger Str. 19,33332,794,271,34,260570113,771179000,51.8975084,8.3850577
200,Klinikum Herford AöR,Herford,Schwarzenmoorstraße 70,32049,1259,487,39,260570306,773235000,52.126119,8.7004351
201,St. Ansgar Krankenhaus Höxter,Höxter,Brenkhäuser Str. 71,37671,1032,315,31,260570351,773298000,51.7850314,9.3653808
202,Klinikum Lippe Detmold,Detmold,Röntgenstraße 18,32756,1977,555,28,260570486,771184000,51.9412595,8.8798408
203,MKK Krankenhaus Bad Oeynhausen,Bad Oeynhausen,Wielandstraße 28,32545,693,174,25,260570545,772361000,52.1935148,8.7974675
204,Herz- und Diabeteszentrum NRW,Bad Oeynhausen,Georgstrasse  11,32545,Datenschutz,Datenschutz,Datenschutz,260570603,771056000,52.1921357,8.795334
205,Krankenhaus Lübbecke,Lübbecke,Virchowstraße 65,32312,829,173,21,260570681,772139000,52.2960071,8.6035676
206,Johannes Wesling Klinikum Minden,Minden,Hans-Nolte-Str. 1,32429,1854,764,41,260570692,772283000,52.2612461,8.8890891
207,St. Vincenz-Krankenhaus,Paderborn,Am Busdorf 2,33098,2542,660,26,260570874,772673000,51.7185238,8.7591072
208,St. Josefs-Krankenhaus,Salzkotten,Dr.-Krismann-Straße 12,33154,1171,195,17,260570874,772674000,51.6779414,8.6177166
209,St. Johannisstift Ev. Krankenhaus Paderborn GmbH,Paderborn,Reumontstraße 28,33102,100,30,30,260570896,771887000,51.7229513,8.746516
210,Marienhospital Oelde,Oelde,Spellerstraße 16,59302,443,135,30,260571421,772475000,51.8219845,8.1428601
211,Sankt Elisabeth Hospital,Gütersloh,Stadtring Kattenstroth 130,33332,1079,276,26,260571421,772477000,51.8823827,8.3817944
212,Franziskus Hospital Bielefeld,Bielefeld,Kiskerstr. 26,33615,1015,388,38,260571421,773289000,52.0226864,8.5227616
213,Mathilden Hospital,Herford,Renntormauer 1-3,32052,563,178,32,260571421,773290000,52.1119389,8.6748631
214,St. Elisabeth-Hospital,Bochum,Bleichstraße 15,44787,1374,528,38,260590071,772745000,51.4826965,7.2201904
215,Augusta-Kranken-Anstalt gGmbH Bochum,Bochum,Bergstraße 26,44791,1418,410,29,260590106,771915000,51.4852967,7.2229971
216,Klinikum Dortmund Mitte,Dortmund,Beurhausstraße 40,44137,2453,1322,54,260590139,773659000,51.5084552,7.4576213
217,Klinikum Dortmund Nord,Dortmund,Münsterstraße 240,44145,Datenschutz,Datenschutz,Datenschutz,260590139,773660000,51.5344549,7.4543456
218,St. Josefs Hospital Dortmund-Hörde,Dortmund,Wilhelm-Schmidt-Str. 4,44263,974,259,27,260590219,772089000,51.4851096,7.5051313
219,St. Rochus-Hospital Castrop-Rauxel (Einrichtung des St. Lukas Klinikums),Castrop-Rauxel,Glückaufstr. 10,44575,782,303,39,260590219,772090000,51.5468383,7.3156511
220,HAMM,Hamm,Werler Straße 110,59063,1484,465,31,260590402,773164000,51.6705744,7.826875
221,"Marien Hospital Herne, Klinikum der Ruhr-Universität Bochum",Herne,Hölkeskampring 40,44625,616,197,32,260590457,772372000,51.5287108,7.2264738
222,St. Anna Hospital Herne,Herne,Hospitalstr. 19,44649,1147,244,21,260590468,772418000,51.537557,7.1590304
223,Gemeinschaftskrankenhaus Herdecke,Herdecke,Gerhard-Kienle-Weg -- 4,58313,1977,625,32,260590572,772009000,51.4116353,7.3999225
224,HELIOS Klinikum Schwelm,Schwelm,Dr.-Moeller-Straße 15,58332,725,267,37,260590583,771535000,51.2937365,7.3122248
225,Marien Hospital Witten,Witten,Marienplatz 2,58452,2747,1151,42,260590641,772434000,51.4451883,7.3372477
226,Städt. Krankenhaus Maria-Hilf Brilon gGmbH,Brilon,Am Schönschede 1,59929,574,220,38,260590696,773218000,51.3857818,8.5821875
227,"Klinikum Lüdenscheid, Märkische Kliniken GmbH",Lüdenscheid,Paulmannshöher Straße 14,58515,771,262,34,260590969,773051000,51.2077232,7.6622444
228,Berglandklinik Lüdenscheid GmbH & Co. KG,Lüdenscheid,Am Hundebrink 6,58511,474,188,40,260590981,773505000,51.2072103,7.6374958
229,Katholische Hospitalgesellschaft Südwestfalen gGmbH - St. Martinus-Hospital,Olpe,Hospitalweg 6,57462,852,286,34,260591107,772205000,51.0279527,7.8465098
230,Katholische Hospitalgesellschaft Südwestfalen gGmbH - St. Josefs-Hospital,Lennestadt,Uferstraße 7,57368,544,177,33,260591107,772206000,51.1083091,8.0697058
231,St. Marien-Krankenhaus Siegen ,Siegen,Kampenstraße 51,57072,1087,284,26,260591243,772061000,50.8790848,8.0298395
232,Evangelisches Krankenhaus Lippstadt,Lippstadt,Wiedenbrücker Straße 33,59555,1573,587,37,260591345,771769000,51.6848042,8.3422539
233,KlinikumStadtSoest gGmbH,Soest,Senator-Schwartz-Ring 8,59494,584,185,32,260591389,772657000,51.5650729,8.0778409
234,KLW St. Paulus GmbH  St. Marien Hospital Lünen,Lünen,Altstadtstraße 23,44534,685,263,38,260591506,771395000,51.6188621,7.5153293
235,MKS St. Paulus GmbH - Marienkrankenhaus Schwerte,Schwerte,Goethestraße 19,58239,829,302,36,260591517,771493000,51.4439056,7.5675557
236,Christliches Klinikum Unna gGmbH,Unna,Obere Husemannstrasse 2,59423,1063,417,39,260591539,772252000,51.5369502,7.6847822
237,"Knappschaftskrankenhaus Dortmund, Klinikum Westfalen GmbH",Dortmund,Am Knappschaftskrankenhaus 1,44309,532,157,30,260591619,771108000,51.5200629,7.5320074
238,St. Barbara-Klinik Hamm GmbH,Hamm,Am Heessener Wald 1,59073,620,208,34,260592084,772561000,51.7078282,7.8416243
239,VAMED Klinik Bad Berleburg GmbH,Bad Berleburg,An der Gontardslust  7,57319,210,71,34,260592277,771727000,51.0606658,8.4073489
240,Diakonie Klinikum Jung-Stilling,Siegen,Wichernstraße 40,57074,1789,730,41,260593085,771580000,50.8515103,8.0184
241,St.-Johannes-Hospital Dortmund,Dortmund,Johannesstraße 9-13,44137,1262,457,36,260593096,772099000,51.5104129,7.4574054
242,KLINIKUM HOCHSAUERLAND / Karolinen-Hospital Hüsten,Arnsberg,Stolte Ley 5,59759,1730,397,23,260593600,772597000,51.4260697,7.9996717
243,Klinikum Darmstadt GmbH,Darmstadt,Grafenstraße 9,64283,2557,1024,40,260610019,771807000,49.8745519,8.6466744
244,Alice-Hospital,Darmstadt,Dieburger Straße 31,64287,1494,547,37,260610031,771432000,49.8772641,8.6653032
245,Klinikum Frankfurt Höchst GmbH,Frankfurt am Main,Gotenstraße 6-8,65929,2246,703,31,260610075,773233000,50.1086826,8.5468262
246,Bürgerhospital und Clementine Kinderhospital gGmbH Standort: Bürgerhospital Frankfurt,Frankfurt am Main,Nibelungenallee 37-41,60318,4157,1500,36,260610122,771984000,50.1303682,8.686207
247,Hospital zum Heiligen Geist,Frankfurt am Main,Lange Straße 4 - 6,60311,1167,367,31,260610133,771238000,50.1103217,8.6932165
248,DGD Krankenhaus Sachsenhausen gGmbH,Frankfurt,Schulstr. 31,60594,732,302,41,260610177,771347000,50.1063178,8.6836179
249,"Universitätsklinikum Gießen und Marburg, Standort Gießen",Gießen,Rudolf-Buchheim-Straße 8,35392,1996,943,47,260610279,773411000,50.5763998,8.6659184
250,Lahn-Dill-Kliniken GmbH,Wetzlar,Forsthausstraße 1,35578,648,175,27,260610280,771876000,50.5386763,8.5309561
251,St. Josefs Krankenhaus Balserische Stiftung,Gießen,Wilhelmstraße 7,35392,1240,365,29,260610337,772166000,50.5782557,8.6675581
252,Sana Klinikum Offenbach GmbH,Offenbach,Starkenburgring 66,63069,1392,434,31,260610359,772356000,50.0957449,8.7545387
253,Ketteler Krankenhaus,Offenbach,Lichtenplattenweg 85,63071,536,174,32,260610360,771398000,50.0946549,8.7847016
254,Helios Dr. Horst-Schmidt-Kliniken Wiesbaden,Wiesbaden,Ludwig-Erhard-Strasse 100,65199,1881,601,32,260610393,773371000,50.0658506,8.1914707
255,Asklepios Paulinen Klinik Wiesbaden,Wiesbaden,Geisenheimer Straße 10,65197,983,263,27,260610428,773037000,50.0719273,8.2269943
256,St. Josefs-Hospital Wiesbaden GmbH,Wiesbaden,Beethovenstr. 20,65189,1429,459,32,260610439,772176000,50.0764489,8.2544924
257,Kreisklinik Groß-Umstadt,Groß-Umstadt,Krankenhausstr. 11,64823,384,105,27,260610690,772772000,49.8672057,8.9367986
258,Hochtaunus-Kliniken gGmbH - Bad Homburg,Bad Homburg,Zeppelinstraße 20,61352,1421,350,25,260610792,772998000,50.2121193,8.619331
259,Dill-Kliniken,Dillenburg,Rotebergstraße 2,35683,479,169,35,260611009,771878000,50.7458766,8.2851859
260,Asklepios Klinik Lich GmbH,Lich,Goethestraße 4,35423,806,268,33,260611032,771723000,50.524845,8.8057305
261,St. Vincenz-Krankenhaus Limburg,Limburg,Auf dem Schafsberg -,65549,1289,457,35,260611203,772912000,50.3874898,8.0511327
262,Main-Kinzig-Kliniken Gelnhausen,Gelnhausen,Herzbachweg 14,63571,1666,525,32,260611225,772471000,50.2062544,9.1825422
263,Klinikum Hanau GmbH,Hanau,Leimenstraße 20,63450,1372,546,40,260611236,771648000,50.1334541,8.923525
264,St. Vinzenz-Krankenhaus Hanau gGmbH Haupthaus,Hanau,Am Frankfurter Tor 25,63450,869,210,24,260611258,772141000,50.1352215,8.9121809
265,Kliniken des Main-Taunus Kreises GmbH / Krankenhaus Bad Soden,Bad Soden am Taunus,Kronberger Straße 36,65812,1037,366,35,260611383,773347000,50.1505305,8.5135951
266,Gesundheitszentrum Odenwaldkreis GmbH,Erbach,Albert-Schweitzer-Str. 10-20,64711,506,175,35,260611511,771569000,49.6516204,9.000656
267,Universitätsklinikum Frankfurt,Frankfurt am Main,Theodor-Stern-Kai 7,60590,1831,718,39,260612124,772858000,50.0952039,8.6611054
268,Klinikum Kassel GmbH,Kassel,Mönchebergstraße 41-43,34125,2447,769,31,260620011,772565000,51.3273936,9.5101244
269,Klinikum Fulda - Hauptstandort,Fulda,Pacelliallee 4,36043,1710,720,42,260620157,772145000,50.5470787,9.7057356
270,Herz-Jesu-Krankenhaus gGmbH,Fulda,Buttlarstraße 74,36039,924,214,23,260620180,771197000,50.5632583,9.6733836
271,Klinikum Bad Hersfeld GmbH,Bad Hersfeld,Seilerweg 29,36251,856,300,35,260620271,771129000,50.8759431,9.7134361
272,"Universitätsklinikum Gießen und Marburg GmbH, Standort Marburg",Marburg,Baldingerstraße 01,35043,2059,806,39,260620431,773132000,50.8161245,8.8060536
273,"Asklepios Schwalm-Eder-Kliniken GmbH, Klinikum Schwalmstadt",Schwalmstadt,Krankenhausstraße 27,34613,492,196,40,260620556,773531000,50.922049,9.2562986
274,Hospital zum Heiligen Geist gGmbH,Fritzlar,Am Hospital 6,34560,717,152,21,260620589,772956000,51.1324614,9.2788846
275,Kreiskrankenhaus Frankenberg,Frankenberg,Forststraße 9,35066,580,183,32,260620658,772704000,51.0619825,8.7918885
276,Stadtkrankenhaus Korbach gGmbH,Korbach,Enser Str. 19,34497,312,103,33,260620670,772662000,51.2674541,8.8710857
277,Kreiskrankenhaus Bergstraße - eine Einrichtung des Universitätsklinikums Heidelberg,Heppenheim,Viernheimer Straße 2,64646,775,255,33,260640048,772028000,49.6281904,8.625264
278,GPR Klinikum,Rüsselsheim am Main,August-Bebel-Straße 59,65428,1195,345,29,260640480,771061000,49.9827132,8.4251458
279,St. Elisabethen-Krankenhaus,Frankfurt am Main,Ginnheimer Straße 3,60487,1512,570,38,260640641,773559000,50.1264302,8.6388472
280,Asklepios Klinik Langen,Langen,Röntgenstraße 20,63225,846,253,30,260640732,772654000,49.9985187,8.6845424
281,Hochwaldkrankenhaus Bad Nauheim,Bad Nauheim,Chaumontplatz 1,61231,1008,257,25,260641722,771758000,50.3571253,8.7291555
282,Helios St. Elisabeth Klinik Hünfeld,Hünfeld,Schillerstraße 22,36088,330,132,40,260660258,772593000,50.6631439,9.7672048
283,AGAPLESION DIAKONIE KLINIKEN KASSEL,Kassel,Herkulesstraße 34,34119,1568,485,31,260660839,772094000,51.3142665,9.4627093
284,Kreisklinik Hofgeismar,Hofgeismar,Liebenauer Straße 1,34369,265,92,35,260660862,772508000,51.496004,9.3691837
285,Klinikum Werra Meißner GmbH / Standort Eschwege,Eschwege,Elsa-Brändström-Straße 1,37269,415,95,23,260660873,772876000,51.1827575,10.0503338
286,Gemeinschaftsklinikum Mittelrhein gGmbH / Kemperhof,Koblenz,Koblenzer Straße 115-155,56073,1677,568,34,260700109,773518000,50.3556095,7.5646017
287,"Gemeinschaftsklinikum Mittelrhein, St. Elisabeth Mayen",Mayen,Siegfriedstr. 20+22,56727,766,284,37,260700109,773520000,50.3263714,7.2184762
288,Krankenhaus Maria Hilf,Bad Neuenahr-Ahrweiler,Dahlienweg 3-5,53474,326,81,25,260710087,771220000,50.5414155,7.1289587
289,DRK Krankenhaus Altenkirchen-Hachenburg (HB),Hachenburg,Alte Frankfurter Straße 12,57627,677,187,28,260710327,772402000,50.6567551,7.830374
290,DRK Krankenhaus Kirchen,Kirchen,Bahnhofstraße 24,57548,834,254,30,260710350,771808000,50.8061329,7.8792628
291,Krankenhaus St. Marienwörth,Bad Kreuznach,Mühlenstraße 39,55543,712,247,35,260710394,773031000,49.8464188,7.8610687
292,Klinikum Idar-Oberstein GmbH,Idar-Oberstein,Dr.-Ottmar-Kohler-Straße 2,55743,649,200,31,260710646,772307000,49.7161834,7.3212833
293,Marienkrankenhaus Cochem,Cochem,Avallonstraße 32,56812,Datenschutz,Datenschutz,Datenschutz,260710715,772167000,50.1555604,7.1793583
294,St. Nikolaus-Stiftshospital GmbH Andernach,Andernach,Ernestus-Platz 1,56626,1036,229,22,260710748,771119000,50.4407047,7.4047772
295,Hunsrück Klinik kreuznacher diakonie,Simmern,Holzbacher Straße 1,55469,549,155,28,260710997,772202000,49.9805102,7.5173876
296,Herz-Jesu-Krankenhaus Dernbach,Dernbach,Südring 8,56428,514,173,34,260711180,772098000,50.4532024,7.7853595
297,Diakonie Krankenhaus kreuznacher diakonie,Bad Kreuznach,Ringstraße 64,55543,1339,543,41,260711636,772554000,49.8367828,7.863625
298,Marienhaus Klinikum St. Elisabeth Neuwied,Neuwied,Friedrich-Ebert-Straße 59,56564,1682,623,37,260711658,771924000,50.4278742,7.4709599
299,Katholisches Klinikum Koblenz·Montabaur,Koblenz,Kardinal-Krementz-Straße  1-5,56073,1173,371,32,260711852,771301000,50.3536031,7.5869392
300,Klinikum Mutterhaus der Borromäerinnen gGmbH Standort Mitte/Nord,Trier,Feldstraße 16,54290,2174,859,40,260720034,771463000,49.7548636,6.6319705
301,Marienhaus Klinikum Eifel - Standort Bitburg,Bitburg,Krankenhausstraße 1,54634,422,164,39,260720307,771730000,49.97173,6.5264611
302,St. Elisabeth Krankenhaus Wittlich,Wittlich,Koblenzer Straße 91,54516,1396,535,38,260720330,771854000,50.000609,6.8921032
303,Stadtklinik Frankenthal,Frankenthal,Elsa-Brändström-Straße 1,67227,315,103,33,260730014,771517000,49.5427022,8.3311645
304,Westpfalz-Klinikum GmbH - Standort I Kaiserslautern,Kaiserslautern,Hellmut-Hartert-Straße 1,67655,1097,358,33,260730025,772988000,49.4414169,7.7560839
305,Vinzentius-Krankenhaus Landau,Landau,Cornichonstraße 4,76829,1055,352,33,260730081,772900000,49.1903125,8.1142225
306,Klinikum der Stadt Ludwigshafen am Rhein gGmbH,Ludwigshafen,Bremserstr. 79,67063,339,152,45,260730116,772801000,49.4898721,8.4255357
307,St. Marien- und St. Annastiftskrankenhaus,Ludwigshafen,Salzburger Straße 15,67067,1511,517,34,260730127,772591000,49.4577634,8.4073044
308,Universitätsmedizin der Johannes Gutenberg-Universität Mainz,Mainz,Langenbeckstraße 1,55131,1409,592,42,260730161,771621000,49.9917813,8.2603945
309, Marienhaus Klinikum Mainz,Mainz,An der Goldgrube 11,55131,1945,442,23,260730183,772834000,49.9894603,8.2705606
310,Marienhaus Klinikum Hetzelstift,Neustadt an der Weinstraße,Stiftstraße 10,67434,561,181,32,260730229,772789000,49.3463039,8.1494815
311,Städtisches Krankenhaus Pirmasens gGmbH Standort Pirmasens,Pirmasens,Pettenkoferstraße 22,66955,901,310,34,260730263,773361000,49.1930487,7.6177302
312,Diakonissen-Stiftungs-Krankenhaus Speyer,Speyer,Paul-Egell-Straße 33,67346,3481,1210,35,260730309,771057000,49.3110892,8.4346112
313,Klinikum Worms gGmbH,Worms,Gabriel-von-Seidl-Str. 81,67550,1602,619,39,260730321,771693000,49.6493067,8.3200311
314,Kreiskrankenhaus Grünstadt,Grünstadt,Westring 55,67269,748,265,35,260730412,771109000,49.5637759,8.15786
315,Westpfalz-Klinikum GmbH - Standort III Kirchheimbolanden,Kirchheimbolanden,Dannenfelser Straße 36,67292,762,207,27,260730423,772990000,49.659134,8.0073192
316,Nardini Klinikum St. Johannis,Landstuhl,Nardinistr. 30,66849,745,281,38,260730478,772426000,49.3990068,7.5824388
317,Marienhospital Stuttgart,Stuttgart,Böheimstraße 37,70199,1033,315,30,260810191,772796000,48.7609892,9.1633814
318,Robert-Bosch-Krankenhaus,Stuttgart,Auerbachstraße 110,70376,1491,534,36,260810271,772311000,48.8146647,9.1873791
319,Krankenhaus Herrenberg,Herrenberg,Marienstraße 25,71083,1200,243,20,260810431,771318000,48.5917634,8.875121
320,Krankenhaus Leonberg,Leonberg,Rutesheimer Straße 50,71229,661,181,27,260810453,771315000,48.8020131,9.0029488
321,Klinikum Esslingen GmbH,Esslingen am Neckar,Hirschlandstraße 97,73730,1570,606,39,260810475,771511000,48.7359681,9.3264681
322,medius KLINIK OSTFILDERN-RUIT,Ostfildern,Hedelfinger Str. 166,73760,1093,154,14,260810523,772696000,48.7412207,9.2548634
323,Die Filderklinik gGmbH,Filderstadt,Im Haberschlai 7,70794,2212,375,17,260810545,772914000,48.6472613,9.2047531
324,Klinik am Eichert,Göppingen,Eichertstraße 3,73035,1719,600,35,260810589,772384000,48.6903119,9.6512629
325,Krankenhaus Bietigheim,Bietigheim-Bissingen,Riedstr. 12,74321,1894,465,25,260810625,772171000,48.9573453,9.1354806
326,Klinikum Ludwigsburg,Ludwigsburg,Posilipostraße 4,71640,2393,789,33,260810647,772121000,48.8989021,9.2035793
327,Rems-Murr-Klinik Schorndorf,Schorndorf,Schlichtener Straße 105,73614,713,191,27,260810716,772813000,48.7972867,9.5296473
328,Rems-Murr-Klinikum Winnenden,Winnenden,Am Jakobsweg 1,71364,2332,874,37,260810738,773028000,48.8703675,9.3921821
329,SLK-Kliniken Heilbronn GmbH - Klinikum am Gesundbrunnen,Heilbronn,Am Gesundbrunnen 20-26,74078,3201,475,15,260810794,772048000,49.1540716,9.189318
330,Hohenloher Krankenhaus gGmbH Standort: Öhringen,Öhringen,Kastellstraße 5,74613,1013,195,19,260811114,773242000,49.2064207,9.4987491
331,Landkreis Schwäbisch Hall Klinikum gGmbH,Crailsheim,Gartenstr. 21,74564,658,200,30,260811125,772436000,49.1357543,10.0772346
332,Diakonie-Klinikum Schwäbisch Hall gGmbH,Schwäbisch Hall,Diakoniestraße 10,74523,1309,401,31,260811192,772437000,49.1248283,9.7417081
333,Kliniken Landkreis Heidenheim gGmbH,Heidenheim,Schloßhaustraße 100,89522,1009,308,31,260811498,771378000,48.6728039,10.1417872
334,"Kliniken Ostalb, Ostalb-Klinikum Aalen",Aalen,Im Kälblesrain 1,73430,1835,540,29,260811502,771469000,48.8492435,10.0859237
335,St. Anna-Virngrund-Klinik,Ellwangen,Dalkinger Straße 8-12,73479,380,150,39,260811546,771382000,48.9571201,10.1319408
336,Stauferklinikum Schwäbisch-Gmünd,Mutlangen,Wetzgauer Str. 85,73557,1607,480,30,260811579,771470000,48.8195896,9.7874243
337,medius KLINIK NÜRTINGEN,Nürtingen,Auf dem Säer 1,72622,1457,292,20,260812273,772706000,48.6291919,9.3564167
338,Klinikum Stuttgart - Katharinenhospital (KH),Stuttgart,Kriegsbergstraße 60,70174,Datenschutz,Datenschutz,Datenschutz,260812364,772783000,48.7837421,9.1733168
339,Klinikum Stuttgart - Olgahospital / Frauenklinik (OH/FK),Stuttgart,Kriegsbergstraße 62,70174,2918,1449,50,260812364,772786000,48.7843184,9.1717916
340,Kliniken Böblingen,Böblingen,Bunsenstraße 120,71032,2753,814,30,260812525,771314000,48.6897835,9.0331835
341,Caritas-Krankenhaus Bad Mergentheim,Bad Mergentheim,Uhlandstraße 7,97980,1294,389,30,260812558,772383000,49.4904375,9.7638291
342,St. Anna-Klinik,Stuttgart,Obere Waiblinger Str. 101,70374,845,311,37,260812569,772571000,48.8072126,9.2302905
343,Rotkreuzklinik Wertheim,Wertheim,Rotkreuzstraße 2,97877,20,17,85,260812649,772711000,49.7608333,9.4979636
344,Klinikum Mittelbaden Baden-Baden Balg,Baden-Baden,Balger Str. 50,76532,1943,777,40,260820013,772902000,48.7843063,8.216508
345,Städtisches Klinikum Karlsruhe gGmbH,Karlsruhe,Moltkestraße 90,76133,2407,895,37,260820115,772143000,49.0156523,8.3745829
346,Diakonissenkrankenhaus ,Karlsruhe,Diakonissenstraße 28,76199,1588,390,25,260820137,771801000,48.9712006,8.4099831
347,St. Vincentius Kliniken ,Karlsruhe,Steinhäuserstraße 18,76135,1157,320,28,260820137,771802000,48.9995634,8.3782438
348,Fürst-Stirum-Klinik Bruchsal,Bruchsal,Gutleutstraße 1-14,76646,1049,317,30,260820284,772071000,49.1321188,8.6039746
349,Universitätsklinikum Heidelberg: Campus,Heidelberg,Im Neuenheimer Feld 672,69120,2197,1051,48,260820466,771700000,49.4199193,8.6676297
350,St. Josefskrankenhaus Heidelberg GmbH,Heidelberg,Landhausstraße 25,69115,493,180,37,260820499,771138000,49.4025657,8.688835
351,Krankenhaus Salem derEvang. Stadtmission Heidelberg gGmbH,Heidelberg,Zeppelinstraße 11-33,69121,1202,385,32,260820503,771242000,49.4234373,8.6840628
352,Universitätsklinikum Mannheim GmbH,Mannheim,Theodor-Kutzer-Ufer 1-3,68167,2769,1122,41,260820569,772389000,49.4923524,8.4867398
353,Diako Mannheim gGmbH,Mannheim,Speyerer Straße 91-93,68163,1209,472,39,260820570,771219000,49.4633883,8.4694053
354,Neckar-Odenwald-Kliniken gGmbH,Buchen,Dr. Konrad-Adenauer-Straße 37,74722,745,200,27,260820650,772039000,49.5240648,9.3082973
355,GRN-Klinik Schwetzingen,Schwetzingen,Bodelschwinghstraße 10,68723,865,242,28,260820774,771953000,49.3778789,8.5704262
356,GRN-Klinik Sinsheim,Sinsheim,Alte Waibstadter Straße 2,74889,1317,282,21,260820785,771951000,49.2524474,8.8902886
357,Helios Klinikum Pforzheim GmbH ,Pforzheim,Kanzlerstraße 2-6,75175,1546,438,28,260820854,773169000,48.8889734,8.7123224
358,Siloah St. Trudpert Klinikum,Pforzheim,Wilferdinger Straße 67,75179,1401,316,23,260820865,771417000,48.8972935,8.6726041
359,Kreiskliniken Calw,Calw,Eduard-Conz-Straße 6,75365,496,123,25,260821025,771316000,48.7154508,8.744846
360,Krankenhaus Mühlacker,Mühlacker,Hermann-Hesse-Straße 34,75417,16,16,100,260821241,771995000,48.9506719,8.8605894
361,Krankenhaus Freudenstadt,Freudenstadt,Karl-von-Hahn-Straße 120,72250,1073,310,29,260821376,773536000,48.4775189,8.4053925
362,GRN-Klinik Weinheim,Weinheim,Röntgenstraße 1,69469,736,192,26,260821902,771954000,49.54983,8.6448373
363,Ev. Diakoniekrankenhaus,Freiburg,Wirthstraße 11,79110,1494,329,22,260830026,771430000,48.0239007,7.8157198
364,St Josefskrankenhaus,Freiburg,Sautierstr. 1,79104,1715,553,32,260830048,771473000,48.0019181,7.8521998
365,HELIOS Klinik Titisee-Neustadt,Titisee-Neustadt,Jostalstraße 12,79822,509,147,29,260830572,771820000,47.9257363,8.1870108
366,Kreiskrankenhaus Emmendingen,Emmendingen,Gartenstraße 44,79312,700,194,28,260830629,773126000,48.1252505,7.855804
367,Helios Klinik Rottweil,Rottweil,Krankenhausstraße 30,78628,1219,320,26,260831061,771543000,48.1654267,8.6126921
368,Schwarzwald-Baar Klinikum Villingen-Schwenningen GmbH,Villingen-Schwenningen,Klinikstraße 11,78052,2343,896,38,260831312,773574000,48.0646237,8.4991647
369,Klinikum Konstanz,Konstanz,Mainaustraße 35,78464,897,294,33,260831481,772585000,47.6720647,9.1883441
370,Hegau-Bodensee-Klinikum Singen,Singen,Virchowstr. 10,78224,1320,489,37,260831551,773017000,47.759353,8.8215343
371,St. Elisabethen-Krankenhaus Lörrach,Lörrach,Feldbergstraße 15,79539,2053,640,31,260831619,772154000,47.6174567,7.6651006
372,Klinikum Hochrhein,Waldshut-Tiengen,Kaiserstraße 93-101,79761,591,196,33,260831960,771416000,47.6224982,8.2078557
373,Universitätsklinikum Freiburg,Freiburg,Hugstetter Straße 55,79106,2181,948,43,260832299,773657000,48.0060746,7.8411712
374,HELIOS Klinik Müllheim,Müllheim,Heliosweg 1,79379,422,95,23,260832847,771975000,47.8115918,7.6349846
375,Klinikum Landkreis Tuttlingen,Tuttlingen,Zeppelinstrasse 21,78532,945,306,32,260833449,771355000,47.9847695,8.8321038
376,Ortenau Klinikum Achern,Achern,Josef-Wurzler-Straße 7,77855,779,236,30,260833519,772210000,48.6252884,8.0662272
377,Ortenau Klinikum Lahr,Lahr,Klostenstrasse 19,77933,724,191,26,260833520,771962000,48.3444307,7.8854433
378,Ortenau Klinikum Offenburg-Kehl Standort Offenburg,Offenburg,Ebertplatz 12,77654,2246,787,35,260833531,771833000,48.4760175,7.9546313
379,Klinikum am Steinenberg,Reutlingen,Steinenbergstraße 31,72764,2045,557,27,260840028,771565000,48.483878,9.218334
380,Universitätsklinikum Tübingen,Tübingen,Geissweg 3,72076,3292,1384,42,260840108,772041000,48.5277394,9.0489311
381,Zollernalb Klinikum gGmbH,Balingen,Tübinger Straße  30,72336,1245,422,34,260840164,772128000,48.2775609,8.8572836
382,Universitätsklinikum Ulm,Ulm,Eythstraße 24,89075,2967,1003,34,260840200,773712000,48.4108529,9.9925123
383,Alb-Donau Klinikum Ehingen,Ehingen,Spitalstraße 29,89584,794,175,22,260840288,771748000,48.2805841,9.7190302
384,Alb-Donau Klinikum Blaubeuren,Blaubeuren,Ulmer Straße 26,89143,386,106,27,260840288,771749000,48.4085156,9.7895523
385,Sana Klinikum Biberach,Biberach,Marie-Curie-Straße 4,88400,886,250,28,260840426,773855000,48.1121455,9.7795564
386,Klinikum Friedrichshafen GmbH,Friedrichshafen,Röntgenstr. 2,88048,1120,422,38,260840493,771843000,47.6728136,9.4300011
